name,category,description,packSize,price,mrp,stock,imagePath,image,merchantId,discount,isOrganic
Pumpkin,Vegetables,Pumpkin is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,28,158,368,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/pumpkin.png,mkGold/products/pumpkin.png,,0,FALSE
Radish,Vegetables,Radish is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,118,148,342,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/radish.png,mkGold/products/radish.png,,0,FALSE
Spinach,Vegetables,Spinach is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,76,177,111,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/spinach.png,mkGold/products/spinach.png,,0,FALSE
Broccoli,Vegetables,Broccoli is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,41,130,56,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/broccoli.png,mkGold/products/broccoli.png,,0,FALSE
Green Chilli,Vegetables,Green Chilli is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,115,175,197,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/green_chilli.png,mkGold/products/green_chilli.png,,0,FALSE
Ginger,Vegetables,Ginger is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,91,157,109,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/ginger.png,mkGold/products/ginger.png,,0,FALSE
Garlic,Vegetables,Garlic is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,83,160,81,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/garlic.png,mkGold/products/garlic.png,,0,FALSE
Aashirvaad Milk,Milk & Dairy,Aashirvaad Milk is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,269,402,356,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/aashirvaad_milk.png,mkGold/products/aashirvaad_milk.png,,0,FALSE
Country Delight Milk,Milk & Dairy,Country Delight Milk is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 g,309,431,299,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/country_delight_milk.png,mkGold/products/country_delight_milk.png,,0,FALSE
Tata Milk,Milk & Dairy,Tata Milk is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,332,437,74,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/tata_milk.png,mkGold/products/tata_milk.png,,0,FALSE
Heritage Milk,Milk & Dairy,Heritage Milk is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 g,272,410,148,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/heritage_milk.png,mkGold/products/heritage_milk.png,,0,FALSE
Gemini Milk,Milk & Dairy,Gemini Milk is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 g,174,400,158,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/gemini_milk.png,mkGold/products/gemini_milk.png,,0,FALSE
Saffola Milk,Milk & Dairy,Saffola Milk is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 L,127,434,405,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/saffola_milk.png,mkGold/products/saffola_milk.png,,0,FALSE
Patanjali Milk,Milk & Dairy,Patanjali Milk is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,250 g,147,415,377,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/patanjali_milk.png,mkGold/products/patanjali_milk.png,,0,FALSE
Dabur Milk,Milk & Dairy,Dabur Milk is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,292,448,292,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/dabur_milk.png,mkGold/products/dabur_milk.png,,0,FALSE
Aashirvaad Curd,Milk & Dairy,Aashirvaad Curd is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,68,401,196,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/aashirvaad_curd.png,mkGold/products/aashirvaad_curd.png,,0,FALSE
Paper Boat Curd,Milk & Dairy,Paper Boat Curd is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,204,427,184,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/paper_boat_curd.png,mkGold/products/paper_boat_curd.png,,0,FALSE
Jersey Curd,Milk & Dairy,Jersey Curd is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,250 g,184,391,98,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/jersey_curd.png,mkGold/products/jersey_curd.png,,0,FALSE
Dabur Curd,Milk & Dairy,Dabur Curd is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,155,401,277,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/dabur_curd.png,mkGold/products/dabur_curd.png,,0,FALSE
Fortune Curd,Milk & Dairy,Fortune Curd is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,250 g,346,372,352,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/fortune_curd.png,mkGold/products/fortune_curd.png,,0,FALSE
Heritage Curd,Milk & Dairy,Heritage Curd is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,339,412,83,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/heritage_curd.png,mkGold/products/heritage_curd.png,,0,FALSE
Saffola Curd,Milk & Dairy,Saffola Curd is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 L,218,418,355,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/saffola_curd.png,mkGold/products/saffola_curd.png,,0,FALSE
Britannia Curd,Milk & Dairy,Britannia Curd is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,250 g,224,437,183,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/britannia_curd.png,mkGold/products/britannia_curd.png,,0,FALSE
Patanjali Butter,Milk & Dairy,Patanjali Butter is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,249,382,202,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/patanjali_butter.png,mkGold/products/patanjali_butter.png,,0,FALSE
Aashirvaad Butter,Milk & Dairy,Aashirvaad Butter is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,56,390,354,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/aashirvaad_butter.png,mkGold/products/aashirvaad_butter.png,,0,FALSE
Amul Butter,Milk & Dairy,Amul Butter is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 g,170,386,331,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/amul_butter.png,mkGold/products/amul butter.png,,0,FALSE
Dabur Butter,Milk & Dairy,Dabur Butter is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,275,380,461,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/dabur_butter.png,mkGold/products/default.png,,0,FALSE
Paper Boat Butter,Milk & Dairy,Paper Boat Butter is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 L,154,390,264,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/paper_boat_butter.png,mkGold/products/paper_boat_butter.png,,0,FALSE
Nandini Butter,Milk & Dairy,Nandini Butter is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 g,324,377,136,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/nandini_butter.png,mkGold/products/nandini_butter.png,,0,FALSE
ITC Butter,Milk & Dairy,ITC Butter is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,75,448,238,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/itc_butter.png,mkGold/products/itc_butter.png,,0,FALSE
Gemini Butter,Milk & Dairy,Gemini Butter is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,78,389,218,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/gemini_butter.png,mkGold/products/gemini_butter.png,,0,FALSE
24 Mantra Paneer,Milk & Dairy,24 Mantra Paneer is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,145,363,204,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/24_mantra_paneer.png,mkGold/products/paneer.png,,0,FALSE
Dhara Paneer,Milk & Dairy,Dhara Paneer is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,288,437,444,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/dhara_paneer.png,mkGold/products/paneer.png,,0,FALSE
Britannia Paneer,Milk & Dairy,Britannia Paneer is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,216,409,407,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/britannia_paneer.png,mkGold/products/paneer.png,,0,FALSE
Aashirvaad Paneer,Milk & Dairy,Aashirvaad Paneer is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,250 g,92,400,231,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/aashirvaad_paneer.png,mkGold/products/paneer.png,,0,FALSE
Nandini Paneer,Milk & Dairy,Nandini Paneer is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 g,251,380,398,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/nandini_paneer.png,mkGold/products/paneer.png,,0,FALSE
Tata Paneer,Milk & Dairy,Tata Paneer is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 L,157,412,275,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/tata_paneer.png,mkGold/products/paneer.png,,0,FALSE
Heritage Paneer,Milk & Dairy,Heritage Paneer is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,195,381,74,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/heritage_paneer.png,mkGold/products/paneer.png,,0,FALSE
Amul Paneer,Milk & Dairy,Amul Paneer is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,318,398,169,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/amul_paneer.png,mkGold/products/paneer.png,,0,FALSE
Country Delight Cheese,Milk & Dairy,Country Delight Cheese is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,172,417,435,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/country_delight_cheese.png,mkGold/products/country_delight_cheese.png,,0,FALSE
Amul Cheese,Milk & Dairy,Amul Cheese is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 L,288,395,368,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/amul_cheese.png,mkGold/products/amul_cheese.png,,0,FALSE
Patanjali Cheese,Milk & Dairy,Patanjali Cheese is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,164,362,429,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/patanjali_cheese.png,mkGold/products/patanjali_cheese.png,,0,FALSE
Paper Boat Cheese,Milk & Dairy,Paper Boat Cheese is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,244,427,247,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/paper_boat_cheese.png,mkGold/products/paper_boat_cheese.png,,0,FALSE
Dabur Cheese,Milk & Dairy,Dabur Cheese is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,184,407,345,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/dabur_cheese.png,mkGold/products/dabur_cheese.png,,0,FALSE
Gemini Cheese,Milk & Dairy,Gemini Cheese is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,295,405,238,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/gemini_cheese.png,mkGold/products/gemini_cheese.png,,0,FALSE
Britannia Cheese,Milk & Dairy,Britannia Cheese is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 g,312,429,256,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/britannia_cheese.png,mkGold/products/britannia_cheese.png,,0,FALSE
Aashirvaad Cheese,Milk & Dairy,Aashirvaad Cheese is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 g,291,447,45,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/aashirvaad_cheese.png,mkGold/products/aashirvaad_cheese.png,,0,FALSE
Nestle Brown Bread,Bread & Bakery,Nestle Brown Bread is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,231,422,328,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/bread_bakery/nestle_brown_bread.png,mkGold/products/nestle_brown_bread.png,,0,FALSE
Heritage Brown Bread,Bread & Bakery,Heritage Brown Bread is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,274,382,155,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/bread_bakery/heritage_brown_bread.png,mkGold/products/heritage_brown_bread.png,,0,FALSE
Saffola Brown Bread,Bread & Bakery,Saffola Brown Bread is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 g,223,366,361,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/bread_bakery/saffola_brown_bread.png,mkGold/products/saffola_brown_bread.png,,0,FALSE
Tata Brown Bread,Bread & Bakery,Tata Brown Bread is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,325,364,208,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/bread_bakery/tata_brown_bread.png,mkGold/products/tata_brown_bread.png,,0,FALSE
Dhara Brown Bread,Bread & Bakery,Dhara Brown Bread is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 L,269,430,203,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/bread_bakery/dhara_brown_bread.png,mkGold/products/dhara_brown_bread.png,,0,FALSE
ITC Brown Bread,Bread & Bakery,ITC Brown Bread is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 L,116,384,62,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/bread_bakery/itc_brown_bread.png,mkGold/products/itc_brown_bread.png,,0,FALSE
24 Mantra Brown Bread,Bread & Bakery,24 Mantra Brown Bread is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 L,62,439,362,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/bread_bakery/24_mantra_brown_bread.png,mkGold/products/24_mantra_brown_bread.png,,0,FALSE
Britannia Brown Bread,Bread & Bakery,Britannia Brown Bread is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,51,360,286,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/bread_bakery/britannia_brown_bread.png,mkGold/products/britannia_brown_bread.png,,0,FALSE
Nestle White Bread,Bread & Bakery,Nestle White Bread is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,321,440,336,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/bread_bakery/nestle_white_bread.png,mkGold/products/nestle_white_bread.png,,0,FALSE
Jersey White Bread,Bread & Bakery,Jersey White Bread is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,343,401,374,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/bread_bakery/jersey_white_bread.png,mkGold/products/default.png,,0,FALSE
