name,categoryName,description,packSize,price,mrp,stock,imagePath,image
Chikoo,Fruits,Chikoo is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,56,225,201,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/chikoo.png,mkGold/products/default.png
Guava,Fruits,Guava is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,73,229,395,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/guava.png,mkGold/products/default.png
Plum,Fruits,Plum is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,167,248,366,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/plum.png,mkGold/products/default.png
Peach,Fruits,Peach is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,161,231,259,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/peach.png,mkGold/products/default.png
Custard Apple,Fruits,Custard Apple is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,119,232,301,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/custard_apple.png,mkGold/products/apple.png
Blueberry,Fruits,Blueberry is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,51,219,196,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/blueberry.png,mkGold/products/default.png
Dragon Fruit,Fruits,Dragon Fruit is fresh produce sourced for everyday household consumption. It is carefully handled to maintain freshness and natural taste. Suitable for regular use.,1 kg,55,243,365,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/fruits/dragon_fruit.png,mkGold/products/dragon_fruit.png
Tomato,Vegetables,Tomato is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,33,150,354,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/tomato.png,mkGold/products/default.png
Potato,Vegetables,Potato is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,29,132,356,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/potato.png,mkGold/products/default.png
Onion,Vegetables,Onion is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,44,160,196,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/onion.png,mkGold/products/default.png
Carrot,Vegetables,Carrot is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,83,174,313,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/carrot.png,mkGold/products/default.png
Beetroot,Vegetables,Beetroot is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,113,142,394,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/beetroot.png,mkGold/products/default.png
Cabbage,Vegetables,Cabbage is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,89,176,65,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/cabbage.png,mkGold/products/default.png
Cauliflower,Vegetables,Cauliflower is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,26,180,395,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/cauliflower.png,mkGold/products/default.png
Capsicum,Vegetables,Capsicum is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,94,132,328,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/capsicum.png,mkGold/products/default.png
Cucumber,Vegetables,Cucumber is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,98,135,342,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/cucumber.png,mkGold/products/default.png
Brinjal,Vegetables,Brinjal is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,76,130,335,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/brinjal.png,mkGold/products/default.png
Lady Finger,Vegetables,Lady Finger is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,39,159,331,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/lady_finger.png,mkGold/products/default.png
Bottle Gourd,Vegetables,Bottle Gourd is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,48,165,244,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/bottle_gourd.png,mkGold/products/default.png
Bitter Gourd,Vegetables,Bitter Gourd is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,76,147,204,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/bitter_gourd.png,mkGold/products/default.png
Pumpkin,Vegetables,Pumpkin is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,28,158,368,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/pumpkin.png,mkGold/products/default.png
Radish,Vegetables,Radish is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,118,148,342,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/radish.png,mkGold/products/default.png
Spinach,Vegetables,Spinach is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,76,177,111,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/spinach.png,mkGold/products/default.png
Broccoli,Vegetables,Broccoli is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,41,130,56,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/broccoli.png,mkGold/products/default.png
Green Chilli,Vegetables,Green Chilli is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,115,175,197,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/green_chilli.png,mkGold/products/default.png
Ginger,Vegetables,Ginger is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,91,157,109,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/ginger.png,mkGold/products/default.png
Garlic,Vegetables,Garlic is a commonly used vegetable selected for daily cooking needs. Freshly sourced and hygienically packed for quality. Ideal for household consumption.,1 kg,83,160,81,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/vegetables/garlic.png,mkGold/products/default.png
Aashirvaad Milk,Milk & Dairy,Aashirvaad Milk is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,269,402,356,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/aashirvaad_milk.png,mkGold/products/default.png
Country Delight Milk,Milk & Dairy,Country Delight Milk is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 g,309,431,299,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/country_delight_milk.png,mkGold/products/default.png
Tata Milk,Milk & Dairy,Tata Milk is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,332,437,74,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/tata_milk.png,mkGold/products/default.png
Heritage Milk,Milk & Dairy,Heritage Milk is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 g,272,410,148,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/heritage_milk.png,mkGold/products/default.png
Gemini Milk,Milk & Dairy,Gemini Milk is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 g,174,400,158,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/gemini_milk.png,mkGold/products/default.png
Saffola Milk,Milk & Dairy,Saffola Milk is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 L,127,434,405,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/saffola_milk.png,mkGold/products/default.png
Patanjali Milk,Milk & Dairy,Patanjali Milk is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,250 g,147,415,377,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/patanjali_milk.png,mkGold/products/default.png
Dabur Milk,Milk & Dairy,Dabur Milk is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,292,448,292,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/dabur_milk.png,mkGold/products/default.png
Aashirvaad Curd,Milk & Dairy,Aashirvaad Curd is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,68,401,196,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/aashirvaad_curd.png,mkGold/products/default.png
Paper Boat Curd,Milk & Dairy,Paper Boat Curd is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,204,427,184,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/paper_boat_curd.png,mkGold/products/default.png
Jersey Curd,Milk & Dairy,Jersey Curd is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,250 g,184,391,98,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/jersey_curd.png,mkGold/products/default.png
Dabur Curd,Milk & Dairy,Dabur Curd is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,155,401,277,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/dabur_curd.png,mkGold/products/default.png
Fortune Curd,Milk & Dairy,Fortune Curd is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,250 g,346,372,352,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/fortune_curd.png,mkGold/products/default.png
Heritage Curd,Milk & Dairy,Heritage Curd is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,339,412,83,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/heritage_curd.png,mkGold/products/default.png
Saffola Curd,Milk & Dairy,Saffola Curd is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 L,218,418,355,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/saffola_curd.png,mkGold/products/default.png
Britannia Curd,Milk & Dairy,Britannia Curd is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,250 g,224,437,183,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/britannia_curd.png,mkGold/products/default.png
Patanjali Butter,Milk & Dairy,Patanjali Butter is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,249,382,202,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/patanjali_butter.png,mkGold/products/default.png
Aashirvaad Butter,Milk & Dairy,Aashirvaad Butter is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,56,390,354,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/aashirvaad_butter.png,mkGold/products/default.png
Amul Butter,Milk & Dairy,Amul Butter is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 g,170,386,331,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/amul_butter.png,mkGold/products/amul butter.png
Dabur Butter,Milk & Dairy,Dabur Butter is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,275,380,461,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/dabur_butter.png,mkGold/products/default.png
Paper Boat Butter,Milk & Dairy,Paper Boat Butter is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 L,154,390,264,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/paper_boat_butter.png,mkGold/products/default.png
Nandini Butter,Milk & Dairy,Nandini Butter is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 g,324,377,136,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/nandini_butter.png,mkGold/products/default.png
ITC Butter,Milk & Dairy,ITC Butter is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,75,448,238,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/itc_butter.png,mkGold/products/default.png
Gemini Butter,Milk & Dairy,Gemini Butter is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,78,389,218,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/gemini_butter.png,mkGold/products/default.png
24 Mantra Paneer,Milk & Dairy,24 Mantra Paneer is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,145,363,204,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/24_mantra_paneer.png,mkGold/products/paneer.png
Dhara Paneer,Milk & Dairy,Dhara Paneer is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,288,437,444,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/dhara_paneer.png,mkGold/products/paneer.png
Britannia Paneer,Milk & Dairy,Britannia Paneer is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,216,409,407,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/britannia_paneer.png,mkGold/products/paneer.png
Aashirvaad Paneer,Milk & Dairy,Aashirvaad Paneer is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,250 g,92,400,231,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/aashirvaad_paneer.png,mkGold/products/paneer.png
Nandini Paneer,Milk & Dairy,Nandini Paneer is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 g,251,380,398,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/nandini_paneer.png,mkGold/products/paneer.png
Tata Paneer,Milk & Dairy,Tata Paneer is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 L,157,412,275,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/tata_paneer.png,mkGold/products/paneer.png
Heritage Paneer,Milk & Dairy,Heritage Paneer is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,195,381,74,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/heritage_paneer.png,mkGold/products/paneer.png
Amul Paneer,Milk & Dairy,Amul Paneer is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,318,398,169,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/amul_paneer.png,mkGold/products/paneer.png
Country Delight Cheese,Milk & Dairy,Country Delight Cheese is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,172,417,435,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/country_delight_cheese.png,mkGold/products/default.png
Amul Cheese,Milk & Dairy,Amul Cheese is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 L,288,395,368,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/amul_cheese.png,mkGold/products/default.png
Patanjali Cheese,Milk & Dairy,Patanjali Cheese is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,164,362,429,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/patanjali_cheese.png,mkGold/products/default.png
Paper Boat Cheese,Milk & Dairy,Paper Boat Cheese is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,244,427,247,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/paper_boat_cheese.png,mkGold/products/default.png
Dabur Cheese,Milk & Dairy,Dabur Cheese is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,184,407,345,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/dabur_cheese.png,mkGold/products/default.png
Gemini Cheese,Milk & Dairy,Gemini Cheese is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,295,405,238,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/gemini_cheese.png,mkGold/products/default.png
Britannia Cheese,Milk & Dairy,Britannia Cheese is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 g,312,429,256,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/britannia_cheese.png,mkGold/products/default.png
Aashirvaad Cheese,Milk & Dairy,Aashirvaad Cheese is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 g,291,447,45,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/aashirvaad_cheese.png,mkGold/products/default.png
Heritage Yogurt,Milk & Dairy,Heritage Yogurt is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,269,428,308,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/heritage_yogurt.png,mkGold/products/default.png
Dabur Yogurt,Milk & Dairy,Dabur Yogurt is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 L,228,400,468,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/dabur_yogurt.png,mkGold/products/default.png
Gemini Yogurt,Milk & Dairy,Gemini Yogurt is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,250 g,250,439,330,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/gemini_yogurt.png,mkGold/products/default.png
Amul Yogurt,Milk & Dairy,Amul Yogurt is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,266,438,479,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/amul_yogurt.png,mkGold/products/default.png
Tata Yogurt,Milk & Dairy,Tata Yogurt is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,314,422,427,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/tata_yogurt.png,mkGold/products/default.png
Patanjali Yogurt,Milk & Dairy,Patanjali Yogurt is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,274,421,460,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/patanjali_yogurt.png,mkGold/products/default.png
Organic India Yogurt,Milk & Dairy,Organic India Yogurt is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,295,390,420,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/organic_india_yogurt.png,mkGold/products/default.png
Nandini Yogurt,Milk & Dairy,Nandini Yogurt is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,59,450,159,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/nandini_yogurt.png,mkGold/products/default.png
Jersey Lassi,Milk & Dairy,Jersey Lassi is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,174,450,41,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/jersey_lassi.png,mkGold/products/default.png
Fortune Lassi,Milk & Dairy,Fortune Lassi is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,263,428,208,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/fortune_lassi.png,mkGold/products/default.png
Nandini Lassi,Milk & Dairy,Nandini Lassi is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,250 g,191,390,74,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/nandini_lassi.png,mkGold/products/default.png
Amul Lassi,Milk & Dairy,Amul Lassi is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 L,308,372,449,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/amul_lassi.png,mkGold/products/default.png
Patanjali Lassi,Milk & Dairy,Patanjali Lassi is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 kg,299,410,200,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/patanjali_lassi.png,mkGold/products/default.png
Gemini Lassi,Milk & Dairy,Gemini Lassi is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 L,256,445,164,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/gemini_lassi.png,mkGold/products/default.png
Paper Boat Lassi,Milk & Dairy,Paper Boat Lassi is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,240,381,104,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/paper_boat_lassi.png,mkGold/products/default.png
Tata Lassi,Milk & Dairy,Tata Lassi is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 L,118,361,325,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/tata_lassi.png,mkGold/products/default.png
Country Delight Fresh Cream,Milk & Dairy,Country Delight Fresh Cream is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,250 g,283,399,251,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/country_delight_fresh_cream.png,mkGold/products/default.png
Gemini Fresh Cream,Milk & Dairy,Gemini Fresh Cream is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,500 ml,240,433,152,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/gemini_fresh_cream.png,mkGold/products/default.png
ITC Fresh Cream,Milk & Dairy,ITC Fresh Cream is a trusted branded grocery product widely used in households. It is hygienically processed and packed to ensure consistent quality. Suitable for everyday needs.,1 L,154,387,271,C:\Users\paila praveen\OneDrive\Desktop\project\MKGold\products/milk_dairy/itc_fresh_cream.png,mkGold/products/default.png
